	5QBDM2ESPNATXXX0494	5QBDM2ESPPOOBXX0490	BR5r-M2-ESP-POO-B-XX-1621	BR5rM2ESPNATXXX1625	MvvQ-M2-ESP-POO-A-XX-1616	MvvQM2ESPNATXXX1620	TZEpM2ESPNATXXX0504	TZEpM2ESPPOOAXX0500
Mycolicibacter.terrae	3528	2212	8453	3878	3972	3285	1339	2224
Mycolicibacter.hiberniae	3173	2079	8022	3816	3453	2970	1290	2077
Mycolicibacter.minnesotensis	1954	1411	5221	2404	2347	1991	793	1385
Mycolicibacter.sinensis	4305	2219	9703	4999	4558	4125	1559	2321
Mycobacteroides.abscessus	7764	5828	26729	9980	9651	7338	2728	7513
Mycobacteroides.chelonae	4102	2266	9937	5275	4690	3227	2056	3382
Mycobacteroides.immunogenum	1817	1316	4994	2283	2189	1808	667	1285
Mycobacteroides.saopaulense	1698	1377	4652	2007	2137	1777	788	1247
Mycobacteroides.salmoniphilum	1447	1031	3931	1728	1740	1436	523	979
X.Mycobacterium..stephanolepidis	1056	684	2676	1110	1283	1067	382	653
Mycolicibacillus.parakoreensis	4885	3019	11743	5675	5594	4463	1849	2927
Hoyosella.subflava	1592	1131	4101	1889	1907	1446	699	1031
Nocardia.asteroides	37593	25439	91141	45107	40902	34295	14429	23126
Nocardia.brasiliensis	20251	14435	51319	24217	23181	18450	7729	13411
Nocardia.farcinica	22289	9198	34315	18402	15475	12664	5634	8946
Nocardia.terpenica	13307	10019	35987	15635	15473	12116	4954	8865
Nocardia.cyriacigeorgica	15383	10176	37603	17263	16433	13233	5592	9496
Nocardia.wallacei	8572	5925	21629	9801	9632	7677	3244	5340
Nocardia.arthritidis	7382	5042	19033	8401	8624	6415	2792	4675
Nocardia.otitidiscaviarum	7113	4636	16756	8189	7599	6058	2620	4367
Nocardia.huaxiensis	7061	4622	17279	8048	7646	6296	2685	4352
Nocardia.gipuzkoensis	7698	4983	18686	8637	8154	6294	2715	4513
Nocardia.yamanashiensis	6859	4370	16785	8108	7587	6127	2597	4295
Nocardia.sp..CS682	7027	4789	17256	8261	7688	6187	2746	10925
Nocardia.yunnanensis	6961	4307	16803	7976	7605	6117	2510	4296
Nocardia.tengchongensis	6928	4601	16771	8110	7611	6157	2708	4178
Nocardia.nova	6216	4140	15698	6962	6955	5266	2316	3952
Nocardia.seriolae	6455	4428	16400	7539	7508	5958	2618	4394
Nocardia.mangyaensis	6377	4124	15537	7588	7104	5733	2420	4000
Nocardia.iowensis	6194	4594	16226	7043	7048	5370	2287	4419
Rhodococcus.sp..X156	9437	5565	20891	11959	9403	8918	4016	5708
Rhodococcus.sp..MTM3W5.2	7056	4385	16470	8344	7488	6309	2743	4318
Rhodococcus.sp..SGAir0479	6550	4290	15416	7913	7341	6143	2559	4097
Rhodococcus.sp..W8901	5870	3729	13917	7029	6425	5336	2326	3732
Rhodococcus.sp..PBTS.1	5570	3531	12701	6984	5866	5313	2281	3497
Rhodococcus.sp..ABRD24	3416	2154	8015	3861	3775	2932	1359	2085
Rhodococcus.sp..R79	4679	3101	11390	5652	5243	4082	2015	3004
Rhodococcus.sp..USK10	3803	2396	9041	4308	4460	3436	1571	2368
Rhodococcus.sp..B7740	2430	1611	5749	2759	2704	2062	920	1487
Rhodococcus.sp..P1Y	2099	1526	5196	2481	2336	1890	866	1313
Rhodococcus.sp..WMMA185	1767	1320	4501	2020	2153	1654	781	1232
Rhodococcus.sp..USK13	2349	1591	5787	2468	2520	1978	936	1452
Rhodococcus.sp..WAY2	2516	1732	6459	2734	2951	2258	976	1699
Rhodococcus.sp..RDE2	2354	1570	5290	2790	2393	2488	949	1777
Rhodococcus.sp..WB9	1785	1285	4574	2053	2074	1402	719	1206
Rhodococcus.sp..ZPP	2589	1758	6280	2883	2857	2379	1120	1635
Rhodococcus.sp..DMU1	2693	1837	6241	2875	2965	2622	1336	1772
Rhodococcus.sp..S2.17	2496	1680	6184	2941	2875	2241	985	1783
Rhodococcus.sp..M8	2293	1435	5910	2684	2600	2338	1086	1461
Rhodococcus.sp..21391	1597	1256	4108	2086	1892	1514	722	1140
Rhodococcus.sp..WB1	2228	1627	5941	2469	2998	2297	1279	1646
Rhodococcus.sp..p52	1474	0	2762	1622	1269	1107	0	945
Rhodococcus.sp..2G	1140	956	2620	1520	1382	1074	0	850
Rhodococcus.sp..P.2	439	316	1178	505	530	442	238	325
Rhodococcus.sp..DMF.1	1440	1029	3302	1690	1672	1367	0	1117
Rhodococcus.sp..LW.XY12	1122	951	3005	1457	1573	1180	0	0
Rhodococcus.sp..PSBB049	1785	0	4656	2028	2224	1999	0	0
Rhodococcus.sp..YL.1	593	560	1640	828	778	620	0	0
Rhodococcus.sp..AQ5.07	458	0	989	717	567	485	0	0
Rhodococcus.opacus	26445	17831	65618	30571	30140	23602	11277	16993
Rhodococcus.equi	10544	6900	24355	12056	11307	9153	4180	6760
Rhodococcus.fascians	6841	4638	17112	8467	7712	6396	2809	4653
Rhodococcus.rhodochrous	7171	4670	15994	8293	7209	7012	2875	6321
Rhodococcus.triatomae	4707	3014	11348	5682	5156	4221	1897	3113
Rhodococcus.koreensis	4556	2826	10614	5266	4913	3885	1727	2686
Rhodococcus.coprophilus	3492	2262	7940	4045	3665	3024	1342	2179
Rhodococcus.qingshengii	12579	4507	15489	6965	7241	5714	2862	4028
Rhodococcus.erythropolis	4472	3663	12199	5691	5732	4758	2229	3214
Rhodococcus.jostii	3563	2270	8441	3993	3950	3067	1352	2222
Rhodococcus.pyridinivorans	10004	7184	25014	11935	11439	9903	4359	7808
Rhodococcus.ruber	7840	5376	19829	10209	9591	7510	3494	5558
Rhodococcus.globerulus	1717	1224	4509	1906	1905	1505	674	1170
Rhodococcus.aetherivorans	5563	4477	14202	7605	7479	5651	2721	4450
Corynebacterium.cyclohexanicum	6565	4356	17487	7790	9000	6091	2684	4904
Corynebacterium.sphenisci	4563	3073	12017	5852	5727	4338	2074	3148
Corynebacterium.frankenforstense	4462	2837	11233	5671	5509	4289	1950	3033
Corynebacterium.xerosis	4740	3444	12626	6570	6226	4864	2321	3571
Corynebacterium.bovis	3688	2439	8842	4917	4246	3631	1572	2418
Corynebacterium.halotolerans	3258	2092	7541	3879	3563	2875	1308	2203
Corynebacterium.nuruki	2983	1955	7576	3722	3433	2884	1265	1893
Corynebacterium.freneyi	2955	2215	7424	3754	3696	2989	1352	2247
Corynebacterium.humireducens	2428	1619	5945	3314	2912	2361	1058	1601
Corynebacterium.vitaeruminis	2396	1752	6514	3227	3122	2481	1180	1790
Corynebacterium.maris	2218	1508	5412	2725	2605	2079	938	1519
Corynebacterium.variabile	2557	1925	6618	3150	3051	2404	1085	1759
Corynebacterium.sp..CNCTC7651	990	711	2778	1392	1311	1058	515	797
Corynebacterium.sp..NML98.0116	710	587	2034	894	926	675	320	620
Corynebacterium.sp..FDAARGOS.1242	348	363	1052	466	568	457	0	351
Corynebacterium.sp..1864	297	329	906	372	428	322	0	0
Corynebacterium.marinum	2140	1555	5455	2844	2600	2052	1031	1575
Corynebacterium.timonense	1925	1359	5215	2550	2578	1958	905	1463
Corynebacterium.doosanense	2065	1643	5817	2850	2728	2099	1039	1674
Corynebacterium.yudongzhengii	1686	1156	4496	2174	2152	1678	761	1251
Corynebacterium.mycetoides	1875	1414	5007	2398	2409	1817	939	1342
Corynebacterium.comes	1635	1068	4133	1975	1913	1434	693	1112
Corynebacterium.liangguodongii	1556	1243	4456	2124	2069	1690	796	1166
Corynebacterium.provencense	1550	1066	3833	1755	1862	1443	713	1055
Corynebacterium.glyciniphilum	1440	964	3289	1547	1507	1228	539	926
Corynebacterium.uterequi	1468	1031	3956	1839	1846	1345	637	1031
Corynebacterium.terpenotabidum	1515	1069	3968	1951	1833	1499	683	1157
Corynebacterium.sanguinis	1583	1279	4645	2146	2206	1654	885	1321
Corynebacterium.imitans	1550	1332	4505	2229	2220	1770	755	1274
Corynebacterium.atypicum	1323	1155	3896	1760	1658	1349	630	999
Corynebacterium.jeikeium	2606	2665	8679	3726	4206	2787	1812	2772
Corynebacterium.ureicelerivorans	1278	902	3420	1641	1515	1259	561	917
Corynebacterium.uberis	1132	716	2819	1330	1376	1067	462	831
Corynebacterium.urealyticum	1603	1646	5071	2261	2464	1855	924	2385
Corynebacterium.falsenii	1200	849	3214	1471	1422	1176	515	908
Corynebacterium.lujinxingii	1166	836	3197	1629	1494	1207	535	851
Corynebacterium.glaucum	986	696	2563	1101	1253	893	424	720
Corynebacterium.efficiens	964	651	2471	1127	1147	900	390	690
Corynebacterium.testudinoris	957	628	2394	1094	1198	819	395	611
Corynebacterium.qintianiae	989	762	2740	1281	1344	1001	429	725
Corynebacterium.occultum	848	565	2128	891	928	692	351	561
Corynebacterium.aurimucosum	969	787	2710	2016	1277	1783	437	738
Corynebacterium.coyleae	876	652	2339	1066	1176	871	366	599
Corynebacterium.striatum	1058	899	3231	1406	1566	1102	515	915
Corynebacterium.glucuronolyticum	821	629	2253	1024	1164	714	378	647
Corynebacterium.tuberculostearicum	957	750	2932	1285	1304	960	492	820
Corynebacterium.genitalium	792	674	2402	1024	1129	898	424	607
Corynebacterium.incognita	733	585	2125	1116	1054	818	367	590
Corynebacterium.kroppenstedtii	644	463	1695	696	835	605	282	515
Corynebacterium.lactis	638	523	1904	882	831	685	335	512
Corynebacterium.riegelii	663	496	1753	846	772	632	274	508
Corynebacterium.matruchotii	577	436	1651	669	703	513	286	435
Corynebacterium.aquilae	570	453	1757	779	769	618	268	464
Corynebacterium.endometrii	555	430	1489	707	696	510	264	440
Corynebacterium.renale	503	414	1362	665	650	472	212	396
Corynebacterium.camporealensis	512	349	1200	489	549	416	211	366
Corynebacterium.zhongnanshanii	481	449	1427	603	688	514	234	374
Corynebacterium.flavescens	508	355	1397	584	723	494	241	384
Corynebacterium.simulans	551	491	1581	703	814	646	310	449
Corynebacterium.minutissimum	597	505	1807	754	935	628	394	559
Corynebacterium.lizhenjunii	420	343	1294	631	577	478	201	361
Corynebacterium.singulare	547	506	1809	816	850	585	302	509
Corynebacterium.urogenitale	408	359	1155	490	558	390	193	296
Corynebacterium.kalinowskii	442	402	1521	601	627	460	230	377
Corynebacterium.phocae	360	253	943	442	458	362	184	255
Corynebacterium.epidermidicanis	345	264	1032	408	471	324	192	336
Corynebacterium.propinquum	386	278	1097	416	500	338	187	320
Corynebacterium.cystitidis	305	226	865	317	410	254	124	254
Corynebacterium.gerontici	328	259	990	353	470	300	146	266
Corynebacterium.diphtheriae	505	438	1641	600	725	500	479	530
Corynebacterium.macginleyi	270	239	871	371	422	284	0	286
Corynebacterium.kefirresidentii	310	290	1004	395	478	367	0	268
Corynebacterium.argentoratense	244	218	750	341	393	282	139	236
Corynebacterium.stationis	243	308	628	290	314	226	0	221
Corynebacterium.glutamicum	5877	2065	8608	4256	2874	1864	0	3007
Corynebacterium.deserti	250	217	741	261	331	223	0	207
Corynebacterium.pelargi	239	172	770	310	345	219	0	213
Corynebacterium.choanae	205	166	720	233	323	201	0	181
Corynebacterium.pseudodiphtheriticum	227	175	670	267	308	237	0	208
Corynebacterium.resistens	245	222	834	305	393	247	0	231
Corynebacterium.ammoniagenes	196	189	592	209	288	149	0	293
Corynebacterium.pseudopelargi	208	174	727	273	332	219	0	183
Corynebacterium.casei	275	315	1082	376	435	358	0	312
Corynebacterium.ulcerans	203	268	714	289	326	227	0	170
Corynebacterium.hindlerae	308	0	777	387	446	280	0	0
Corynebacterium.accolens	337	0	1055	533	455	434	0	352
Corynebacterium.segmentosum	317	362	1023	446	570	376	0	0
Corynebacterium.anserum	141	0	381	126	139	0	0	0
Corynebacterium.mustelae	134	0	370	133	172	0	0	111
Corynebacterium.amycolatum	604	0	2410	868	1063	709	0	0
Corynebacterium.pseudotuberculosis	131	0	419	157	191	0	0	0
Corynebacterium.rouxii	147	0	299	0	164	0	0	0
Corynebacterium.callunae	128	0	342	135	154	0	0	0
Corynebacterium.silvaticum	131	0	388	159	174	135	0	0
Corynebacterium.suranareeae	118	0	340	128	181	0	0	0
Gordonia.sp..PP30	5423	3515	13554	6934	6282	5115	2371	3534
Gordonia.sp..KTR9	3842	2575	9609	4544	4225	3419	1474	2983
Gordonia.sp..YC.JH1	4744	3297	11814	5895	5632	4378	1939	3163
Gordonia.sp..PDNC005	2483	1897	6527	3220	2942	2467	1077	1742
Gordonia.sp..WA4.43	2195	2369	5919	2565	2480	2293	1002	4429
Gordonia.sp..JH63	2038	1639	4836	2295	1960	1822	880	3248
Gordonia.sp..135	2005	1335	4728	2582	2021	2161	758	1149
Gordonia.sp..1D	1980	0	4960	2194	2390	1765	0	0
Gordonia.polyisoprenivorans	8348	5431	20351	9868	9532	7858	3521	5273
Gordonia.terrae	7620	6972	18244	8844	8001	6569	2928	10399
Gordonia.insulae	4635	2962	11395	5626	5266	4348	1917	2859
Gordonia.amarae	4602	3006	10860	5545	5081	4310	1802	2872
Gordonia.phthalatica	4881	3522	12551	6118	5591	4547	2173	3426
Gordonia.iterans	4706	2944	10851	5559	5006	4325	1951	2994
Gordonia.bronchialis	5609	2726	10444	9270	8008	3914	3446	2755
Gordonia.jinghuaiqii	4165	2694	9676	4895	4545	3707	1572	2833
Gordonia.rubripertincta	4530	3083	10988	5447	5306	4199	1890	3071
Gordonia.pseudoamarae	3400	2234	8463	4160	3876	3161	1384	2296
Gordonia.otitidis	2719	1912	7100	3442	3140	2610	1114	1919
Gordonia.zhaorongruii	2384	1664	5852	2801	2589	2123	983	1576
Gordonia.alkanivorans	3956	2612	9261	4619	4152	3381	1593	2418
Gordonia.amicalis	4316	2972	10970	5644	4876	4310	2114	2691
Gordonia.hongkongensis	1889	1808	4927	2314	2314	1859	734	3024
Skermania.piniformis	4302	2731	10380	4962	4864	3847	1712	2613
Tsukamurella.paurometabola	10688	8129	26254	13634	12167	10415	4382	7110
Tsukamurella.tyrosinosolvens	9311	7924	21814	11767	10399	8890	3894	6157
Tsukamurella.pulmonis	6050	5064	14750	7751	6987	6076	2545	4066
Tsukamurella.sp..PLM1	5622	4111	13923	7116	6513	5340	2404	3617
Dietzia.sp..oral.taxon.368	7254	4834	18983	8859	8344	6971	2891	4868
Dietzia.lutea	4762	3152	12284	5806	5359	4420	1940	3095
Dietzia.psychralcaliphila	3617	2383	8803	4481	4037	3323	1511	2476
Dietzia.timorensis	2909	1985	7637	3623	3538	2780	1313	2101
Tomitella.gaofuii	5786	3660	13771	7041	6400	5376	2390	3578
Tomitella.fengzijianii	5325	3314	12611	6458	5796	4895	2217	3262
Segniliparus.rotundus	2088	1444	5194	2484	2505	1998	863	1451
Lawsonella.clevelandensis	324	281	855	391	475	318	150	315
Nocardioides.sp..TF02.7	71044	14386	44195	33640	22118	19688	9800	15682
Nocardioides.sp..G188	40096	15060	50731	32813	22282	22778	14461	15417
Nocardioides.sp..HDW12B	30168	12145	35124	32724	15781	18924	9768	13901
Nocardioides.sp..JS614	27772	13408	44070	25315	21274	17624	9520	14274
Nocardioides.sp..LMS.CY	27467	13684	45036	26157	21448	17678	9410	15390
Nocardioides.sp..zg.1228	27527	15527	38789	30061	16535	15761	7405	19292
Nocardioides.sp..S5	27196	14735	37874	28513	15571	13973	7138	17672
Nocardioides.sp..SCSIO.67246	22313	9637	29687	18626	14977	11190	5901	9323
Nocardioides.sp..zg.579	26065	13962	38739	27790	18257	18804	8572	14560
Nocardioides.sp..W7	22505	11150	36447	22142	17133	14790	7490	13656
Nocardioides.sp..S.1144	22782	11106	36372	23785	18006	15698	7573	11913
Nocardioides.sp..cx.173	21476	10401	33678	21289	16574	13514	7076	11139
Nocardioides.sp..603	20988	9650	31489	20566	15105	13810	6788	10593
Nocardioides.sp..MC1495	17581	8302	25839	17131	12330	11342	5518	8568
Nocardioides.sp..InS609.2	15943	7695	24289	14810	11681	9939	5311	7737
Nocardioides.sp..CF8	18172	8402	26448	16836	12022	10648	5320	8805
Nocardioides.sp..zg.536	17953	8230	25326	16330	12748	11065	5315	8818
Nocardioides.sp..JQ2195	13147	5866	18572	11915	8825	7606	4104	6196
Nocardioides.sp..WS12	12610	5815	18259	10970	8602	7351	3711	6117
Nocardioides.sp..dk884	19407	9000	29806	19582	14611	12949	6299	10068
Nocardioides.sp..ZJ1313	19369	9199	29943	19087	14509	12700	6469	9755
Nocardioides.sp..Kera.G14	9482	4955	16263	9511	7700	6719	3453	5018
Nocardioides.mesophilus	39690	13263	45681	30169	21002	20722	19479	14191
Nocardioides.euryhalodurans	27496	10600	35028	22789	16727	14068	7049	10684
Nocardioides.humi	25034	11986	39862	23734	19343	17027	7875	12584
Nocardioides.anomalus	24143	12269	43775	26436	19603	18831	9696	13463
Nocardioides.okcheonensis	25782	13552	40387	29416	17445	16454	7822	16555
Nocardioides.aromaticivorans	23761	13209	36965	21813	17143	15749	7460	14493
Nocardioides.ungokensis	22980	10634	36741	22167	17182	15857	8311	10946
Nocardioides.dongkuii	23796	11163	36141	24562	17445	15794	7714	12531
Nocardioides.rotundus	18668	8492	28747	18090	13581	12040	6107	8669
Nocardioides.marinisabuli	21057	10089	34003	21710	16252	14218	6854	10911
Nocardioides.cynanchi	16836	8180	28386	16625	13118	12459	7165	8155
Nocardioides.aquaticus	17667	8495	29433	18932	14009	13028	6208	8799
Nocardioides.sambongensis	16857	7517	25397	15564	12574	10716	4999	8226
Nocardioides.dokdonensis	18055	8441	27932	17906	13571	11870	5612	8887
Nocardioides.seonyuensis	15093	6537	20246	13887	9340	8399	4268	7154
Nocardioides.panacisoli	13936	6435	21470	12968	10353	8887	4092	6824
Nocardioides.houyundeii	12917	5852	20247	12750	9287	8266	4328	6276
Nocardioides.piscis	13303	5947	19362	12948	8998	7845	3970	6330
Nocardioides.daphniae	11006	5452	18558	11216	8516	7935	3865	5781
Nocardioides.jishulii	8672	4093	14416	8848	6750	6217	2993	4564
Nocardioides.yefusunii	5599	3012	10000	6138	4723	4239	2014	3154
Nocardioides.baekrokdamisoli	4151	2355	7653	4342	3793	3249	1598	2524
Aeromicrobium.sp..Leaf245	8593	5911	19318	10242	8637	7540	3505	6209
Aeromicrobium.sp..zg.629	6958	4397	14961	8129	6870	5886	2741	4839
Aeromicrobium.sp..A1.2	4980	3364	10805	5594	4917	4163	2101	3294
Aeromicrobium.erythreum	9650	6409	21270	11545	9528	8689	4065	6428
Aeromicrobium.choanae	8317	5448	18571	9960	8246	7210	3200	6107
Aeromicrobium.chenweiae	8470	5412	18726	9863	8078	7306	3513	5632
Aeromicrobium.marinum	7263	4971	15436	8524	6997	6105	2843	4838
Aeromicrobium.yanjiei	7552	4846	16393	8616	7366	6503	3013	4747
Pimelobacter.simplex	20938	11147	38270	22360	17850	16291	7259	11161
Friedmanniella.luteola	17301	9521	36949	19890	15202	17120	10418	9556
Marmoricola.scoriae	17344	8739	31740	20323	14235	15171	7555	9082
Mumia.sp..ZJ1417	10086	5580	21582	11311	9641	8391	3898	5795
Micropruina.glycogenica	4873	3190	11798	5371	5349	4392	2124	3266
Microlunatus.sagamiharensis	14957	8473	32886	17517	14476	14656	8726	8564
Microlunatus.soli	7918	4714	18132	7945	7984	6705	3795	4333
Microlunatus.phosphovorus	7575	4750	17521	7720	7154	6767	4513	4569
Microlunatus.elymi	6628	3828	15448	6464	6488	5491	3262	3834
Microlunatus.sp..Gsoil.973	5806	3524	13368	5856	5897	5038	2891	3272
Tessaracoccus.sp..J1M15	4974	3202	11842	6009	5603	4566	2173	3345
Tessaracoccus.sp..MC1865	3812	2352	8791	4217	3881	3229	1558	2367
Tessaracoccus.defluvii	6707	4253	15978	7640	7581	5916	2800	4303
Tessaracoccus.aquimaris	5574	3496	13296	6468	6078	5086	2304	3615
Tessaracoccus.flavescens	5356	3637	13457	6581	6170	4748	2363	3613
Tessaracoccus.flavus	4868	3066	11256	5677	5508	4216	2210	3373
Tessaracoccus.timonensis	2005	1717	5771	2631	2664	1933	913	1725
Brevilactibacter.coleopterorum	8316	5536	21079	9839	9433	7577	3817	5796
Brevilactibacter.sp..MC1595	7240	4645	17483	8749	8038	6488	3162	4799
Acidipropionibacterium.acidipropionici	5537	3754	13958	6555	6358	5190	2479	3570
Acidipropionibacterium.jensenii	5121	3618	13440	5818	6057	4552	2349	3789
Acidipropionibacterium.virtanenii	2868	1817	7098	3303	3219	2398	1209	1867
Auraticoccus.monumenti	10985	6314	23238	12240	10187	9608	4961	6249
Propionibacterium.acidifaciens	4375	2786	11027	4976	5100	4110	2016	2939
Propionibacterium.australiense	3108	1913	7506	3657	3428	2706	1262	2039
Propionibacterium.freudenreichii	4493	3607	12444	5401	5630	3930	2172	3228
Raineyella.fluvialis	5076	3121	11868	5581	5533	4373	2145	3222
Arachnia.propionica	3050	1843	7687	3521	3649	2677	1282	2023
Arachnia.rubra	1623	1167	4156	1807	1948	1444	725	1083
Cutibacterium.avidum	2306	1632	5734	2479	2691	1936	1049	1574
Cutibacterium.granulosum	1155	752	2904	1236	1336	985	493	724
Cutibacterium.acnes	1079	753	11657	1596	1940	8062	583	1012
Cutibacterium.modestum	441	340	1146	451	559	337	162	319
Vaginimicrobium.propionicum	164	143	408	0	190	0	0	0
Kribbella.flavida	30658	21436	74044	28585	24723	26366	11539	13291
Kribbella.qitaiheensis	18327	13594	49524	16900	16364	17176	7349	8728
Actinopolymorpha.singaporensis	14728	8506	33319	15076	15116	11696	5693	8310
Pseudonocardia.sp..DSM.110487	199386	122312	375512	232386	194778	66906	24103	58542
Pseudonocardia.sp..CGMCC.4.1532	29866	15469	62808	33796	27838	25812	10945	14490
Pseudonocardia.sp..HH130630.07	20068	11148	40713	23992	19340	18268	7698	10205
Pseudonocardia.sp..AL041005.10	16875	10045	36418	20543	16569	15695	6444	9547
Pseudonocardia.sp..HH130629.09	16074	8553	31330	19035	15065	14435	5927	8046
Pseudonocardia.sp..EC080625.04	15345	8226	24692	17677	14978	13803	5572	8531
Pseudonocardia.broussonetiae	36217	19536	76520	41558	34364	31432	13441	17636
Pseudonocardia.dioxanivorans	30877	17489	68274	34646	30297	27475	11933	15980
Pseudonocardia.autotrophica	18852	10889	42308	22538	19338	17183	7247	10315
Pseudonocardia.abyssalis	22179	11880	47205	25070	21096	19168	7921	10828
Amycolatopsis.sp..WQ.127309	21666	15121	51192	35807	22988	29731	10278	12912
Amycolatopsis.sp..DSM.110486	20186	13617	47388	25123	21676	18377	7511	11906
Amycolatopsis.sp..YIM.10	19518	14180	43823	24427	19338	16376	6096	11003
Amycolatopsis.sp..Hca4	20064	14350	47578	67191	21286	44980	12774	13395
Amycolatopsis.sp..FDAARGOS.1241	18079	12099	43369	22507	19729	16826	7321	10519
Amycolatopsis.sp..CA.230715	16502	11380	38358	21194	17294	14563	5941	10033
Amycolatopsis.sp..FU40	12098	8219	28837	15873	13106	11603	4666	7293
Amycolatopsis.sp..AA4	11774	7849	27419	15758	12762	11409	4444	6743
Amycolatopsis.sp..BJA.103	9703	6923	23036	12844	10335	8882	3611	5717
Amycolatopsis.sp..TNS106	9186	6832	21906	12399	9469	8034	3399	5310
Amycolatopsis.sp..EV170708.02.1	9221	6951	22985	12095	10118	7910	4336	5354
Amycolatopsis.acidiphila	18601	12822	45988	23571	21534	16564	7256	11383
Amycolatopsis.pretoriensis	18746	13053	44027	38069	20226	33907	10425	11502
Amycolatopsis.thermalba	18814	12511	42300	22923	19292	15193	6644	10502
Amycolatopsis.albispora	20412	14419	46023	26191	21383	17366	6980	11945
Amycolatopsis.mediterranei	27084	19415	65783	86501	30010	69164	19552	19730
Amycolatopsis.methanolica	17050	11484	38061	20572	17348	14621	6133	9829
Amycolatopsis.keratiniphila	13059	9546	32028	16776	14778	11512	5412	7764
Amycolatopsis.japonica	7232	5256	17883	9361	7967	6298	3029	4324
Amycolatopsis.aidingensis	12712	8479	29787	15204	13614	10334	4188	7392
Amycolatopsis.orientalis	10522	7769	24897	14306	11377	10090	3982	6222
Saccharopolyspora.erythraea	60743	19958	83249	37488	34355	26393	11155	18450
Saccharopolyspora.gregorii	27821	6556	24149	13975	11016	8638	3735	6082
Saccharopolyspora.spinosa	14802	4849	19223	9062	8808	6503	2978	4890
Saccharopolyspora.pogona	15476	5657	20913	9722	9737	7062	3148	5323
Saccharopolyspora.sp..ASAGF58	11705	4368	15980	7584	7603	5292	2306	3801
Saccharothrix.syringae	57302	25051	70656	48678	29268	27482	10671	20784
Saccharothrix.sp..6.C	29918	26804	66307	47814	24877	24681	8927	22322
Saccharothrix.espanaensis	22262	16272	50728	33432	21549	19254	8047	14322
Saccharomonospora.marina	10453	6482	23624	11749	11032	8202	3400	6052
Saccharomonospora.cyanea	10982	5726	22337	12814	8685	6617	2809	4685
Saccharomonospora.azurea	8099	5036	17654	9986	8177	6851	3082	4779
Saccharomonospora.xinjiangensis	5705	3548	12773	6892	5952	4461	2046	3337
Saccharomonospora.glauca	5883	3641	13212	7493	6013	5071	2087	3632
Saccharomonospora.viridis	4239	4293	11277	4884	4479	3589	1581	11187
Lentzea.guizhouensis	40843	69823	108596	137256	28365	36182	11228	58395
Kutzneria.sp..CA.103260	21992	15646	53805	27355	23415	19825	8316	13215
Kutzneria.albida	17048	11980	39667	21320	17385	14570	6123	9940
Actinosynnema.pretiosum	20424	14127	46341	28182	21185	17663	7222	12523
Actinosynnema.mirum	7655	5101	17348	10218	7692	7149	2984	4577
Actinoalloteichus.hoggarensis	8379	5007	18603	9615	8586	7066	2920	4676
Actinoalloteichus.hymeniacidonis	5986	3846	13237	7020	6003	4855	2058	3549
Actinoalloteichus.sp..GBA129.24	4947	2882	11269	5673	5009	4233	1514	2712
Actinoalloteichus.fjordicus	4329	2641	9030	5275	4472	3413	1616	2412
Kibdelosporangium.phytohabitans	19847	22877	46051	37738	19343	22296	7185	13150
Allokutzneria.albata	16716	11129	38200	22762	17509	14477	6106	10124
Alloactinosynnema.sp..L.07	14296	12206	36157	22289	16070	12940	5267	9494
Allosaccharopolyspora.coralli	9929	4092	15871	8274	7258	5775	2711	4165
Prauserella.marina	7638	4842	17660	9015	8019	6303	2629	4284
Micromonospora.sp..WMMC415	31897	14868	48852	29531	23611	21611	9505	14261
Micromonospora.sp..WMMA2032	17650	11864	39148	22440	17482	18555	7871	11000
Micromonospora.sp..HM134	15604	11195	36013	20174	15310	15234	7023	10137
Micromonospora.sp..B006	15223	10920	35914	20308	16369	20748	7576	10285
Micromonospora.sp..L5	9535	6824	23440	13601	10016	9569	4448	6223
Micromonospora.echinaurantiaca	51391	18064	73465	47440	31821	32143	11887	16362
Micromonospora.krabiensis	22043	15005	48088	26826	21045	21440	9723	13596
Micromonospora.echinofusca	23483	13955	45800	30318	20020	20185	9001	13171
Micromonospora.carbonacea	23118	16777	53292	30974	24104	22791	10185	15962
Micromonospora.terminaliae	21260	14086	47300	26402	23048	32023	11184	12775
Micromonospora.inositola	19981	13680	47364	22208	21603	20362	9723	12519
Micromonospora.echinospora	17940	11311	38411	21608	15731	15368	6909	10834
Micromonospora.coxensis	20072	13687	44237	25206	19564	19711	8658	12674
Micromonospora.purpureochromogenes	19483	12971	44565	24403	19591	21116	9102	12492
Micromonospora.coriariae	17652	12279	39780	20773	17018	17229	7787	10985
Micromonospora.viridifaciens	17320	12613	42015	20517	19467	17129	7693	11129
Micromonospora.siamensis	17573	12652	40598	22740	17930	18048	8574	11778
Micromonospora.auratinigra	18111	12711	41081	22880	19710	19181	8122	11199
Micromonospora.ferruginea	18310	12792	42386	23530	18482	18967	8087	11667
Micromonospora.sagamiensis	15807	10608	35027	19659	15095	14358	6831	9802
Micromonospora.maris	13997	10529	32821	17593	14508	13914	6184	11470
Micromonospora.narathiwatensis	15353	11029	36383	18682	16905	15753	6767	9872
Micromonospora.zamorensis	13872	9793	30775	16735	13352	13367	5915	8655
Micromonospora.chokoriensis	13727	10138	31299	17089	13121	13354	5975	8774
